IKResults,,,,,,,,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,,,,,,,,
nRows=577,,,,,,,,,,,,,,,,,,,,,,,,,
nColumns=26,,,,,,,,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Units are S.I. units (second, meters, Newtons, ...)",,,,,,,,,,,,,,,,,,,,,,,,,
"If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,,,,,,,,
time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_ext,lumbar_bend,lumbar_rota
15.56,-1.36621863,1.64675597,87.28256294,0.40518844,0.96224004,1.15182934,-3.78963277,1.11834655,0.94791886,11.55208385,0.2016219,-0.97302363,-1.4852742,-7.17777143,24.81716571,-3.2256365,-7.21121845,24.86781482,0.43402525,-9.51753108,2.54838039,-7.17777143,-15.14714656,-3.43572734,3.12903025
15.564,-1.3357211,1.68574745,87.11101812,0.40514188,0.96174826,1.14694899,-4.15921686,1.10936072,1.06632981,11.56414911,0.20183248,-0.73502095,-1.43011673,-7.21286987,24.86499708,-3.32383949,-7.57127978,23.7686283,0.41484082,-9.75209418,2.43084225,-7.21286987,-15.17554933,-3.46412022,3.29203158
15.568,-1.30358641,1.7371411,86.94363218,0.40508885,0.96125667,1.14201163,-4.54547578,1.09700618,1.16566882,11.57425823,0.20200891,-0.49704366,-1.33942795,-7.24540368,24.87806387,-3.4198817,-7.93403911,22.65872861,0.39546942,-9.95609961,2.36661505,-7.24540368,-15.21358269,-3.49082786,3.44741643
15.572,-1.28256492,1.7964484,86.76584124,0.40503608,0.96075493,1.13705921,-4.93841632,1.06799375,1.27570698,11.59070872,0.20229603,-0.23966766,-1.24907913,-7.27546578,24.86916641,-3.50355371,-8.30798973,21.54492937,0.37602995,-10.15943554,2.31086918,-7.27546578,-15.25822623,-3.53587973,3.60828838
15.576,-1.26490084,1.85455484,86.58733015,0.40496484,0.96023548,1.13208173,-5.32784652,1.03193558,1.37343149,11.61201438,0.20266788,0.01095594,-1.16133816,-7.29956739,24.85029022,-3.57702263,-8.67369626,20.43045923,0.35657878,-10.37159581,2.23626117,-7.29956739,-15.29779606,-3.58384556,3.7745145
15.58,-1.24314087,1.91201689,86.39621037,0.40489189,0.95968846,1.12708736,-5.71561119,0.99458163,1.48299475,11.63604924,0.20308737,0.27800579,-1.050047,-7.32093591,24.82586255,-3.6601416,-9.0459481,19.33529999,0.33746465,-10.53458574,2.24199236,-7.32093591,-15.3389652,-3.62846788,3.9560313
15.584,-1.20944578,1.98331557,86.14412888,0.40489054,0.95915941,1.12211114,-6.12110115,0.97610427,1.76673017,11.63439379,0.20305848,0.4170865,-1.21475972,-7.33043517,24.76971534,-3.77731222,-9.4773071,18.25254404,0.31856699,-10.67312656,2.24778951,-7.33043517,-15.40044418,-3.67801695,4.19804371
15.588,-1.235591,2.09178612,85.98763228,0.40471528,0.95865374,1.11701783,-6.56078552,0.85805218,1.73445062,11.68615153,0.20396182,0.74293707,-0.8327875,-7.33968536,24.63584769,-3.77600366,-9.82246034,17.07346886,0.29798825,-10.85110964,2.29649826,-7.33968536,-15.4889935,-3.76431513,4.31092647
15.592,-1.1902229,2.1052495,85.81412775,0.40458705,0.95798934,1.11192832,-6.90479258,0.84376494,1.79908856,11.70459562,0.20428373,0.98646113,-0.79023403,-7.34798235,24.66013988,-3.87083022,-10.15220675,16.06384638,0.28036701,-10.94231914,2.43557322,-7.34798235,-15.46005167,-3.78729158,4.51831774
15.596,-1.18316327,2.16930858,85.60611154,0.40445789,0.95737585,1.10685084,-7.28540741,0.77162868,1.90845149,11.76281477,0.20529985,1.24894233,-0.64351965,-7.35587261,24.57497029,-3.9172444,-10.47693328,14.95997527,0.26110082,-11.06409862,2.49021058,-7.35587261,-15.50429067,-3.84592513,4.68694904
